type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzYyMy8xMTU5NjMuanBn	http://data.rbge.org.uk/herb/E00366623	E00366623	Image of herbarium specimen E00366623 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzkyNS8xMTYyOTYuanBn	http://data.rbge.org.uk/herb/E00366925	E00366925	Image of herbarium specimen E00366925 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzkxNC8xMTYyNjMuanBn	http://data.rbge.org.uk/herb/E00366914	E00366914	Image of herbarium specimen E00366914 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzcwLzA1NC8xNTUwNjguanBn	http://data.rbge.org.uk/herb/E00370054	E00370054	Image of herbarium specimen E00370054 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzczMy8xNzkxNzUuanBn	http://data.rbge.org.uk/herb/E00366733	E00366733	Image of herbarium specimen E00366733 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzcwLzA0MS8xNTUwMzQuanBn	http://data.rbge.org.uk/herb/E00370041	E00370041	Image of herbarium specimen E00370041 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzQ5MC8xNzg3NzYuanBn	http://data.rbge.org.uk/herb/E00366490	E00366490	Image of herbarium specimen E00366490 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzM4MS8xNzg0NTIuanBn	http://data.rbge.org.uk/herb/E00366381	E00366381	Image of herbarium specimen E00366381 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzM2OC8xMTU3ODAuanBn	http://data.rbge.org.uk/herb/E00366368	E00366368	Image of herbarium specimen E00366368 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0LzcwMS8xNTg5NzguanBn	http://data.rbge.org.uk/herb/E00364701	E00364701	Image of herbarium specimen E00364701 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzEzMi8xMTUzNjkuanBn	http://data.rbge.org.uk/herb/E00366132	E00366132	Image of herbarium specimen E00366132 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzcwLzExOC8xNzk0ODQuanBn	http://data.rbge.org.uk/herb/E00370118	E00370118	Image of herbarium specimen E00370118 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0LzcwMy8xNTg5ODQuanBn	http://data.rbge.org.uk/herb/E00364703	E00364703	Image of herbarium specimen E00364703 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0LzcwMi8xNTg5ODEuanBn	http://data.rbge.org.uk/herb/E00364702	E00364702	Image of herbarium specimen E00364702 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0Lzc1OS8xMTQ5NDMuanBn	http://data.rbge.org.uk/herb/E00364759	E00364759	Image of herbarium specimen E00364759 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMjk0Lzk1Ni8xMDY0NTYuanBn	http://data.rbge.org.uk/herb/E00294956	E00294956	Image of herbarium specimen E00294956 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0LzY5OC8xNTg5NjkuanBn	http://data.rbge.org.uk/herb/E00364698	E00364698	Image of herbarium specimen E00364698 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzcwLzExNy8xNzk0ODEuanBn	http://data.rbge.org.uk/herb/E00370117	E00370117	Image of herbarium specimen E00370117 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMjk0Lzk1Ny8xMDY0NTkuanBn	http://data.rbge.org.uk/herb/E00294957	E00294957	Image of herbarium specimen E00294957 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY0LzcwMC8xNTg5NzUuanBn	http://data.rbge.org.uk/herb/E00364700	E00364700	Image of herbarium specimen E00364700 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzU3OC8xNTQ4NzEuanBn	http://data.rbge.org.uk/herb/E00366578	E00366578	Image of herbarium specimen E00366578 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzU4OC8xNTQ5MDEuanBn	http://data.rbge.org.uk/herb/E00366588	E00366588	Image of herbarium specimen E00366588 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2hlcmJhcml1bV9zcGVjaW1lbl9zY2Fucy9FMDAvMzY2LzYyMC8xMTU5NTQuanBn	http://data.rbge.org.uk/herb/E00366620	E00366620	Image of herbarium specimen E00366620 by Specimen Digitisation Pipeline				Specimen Digitisation Pipeline		Royal Botanic Garden Edinburgh	http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
