type	collectionID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	otherCatalogNumbers	occurrenceRemarks	eventDate	startDayOfYear	year	month	day	verbatimEventDate	fieldNotes	country	countryCode	stateProvince	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	decimalLatitude	decimalLongitude	geodeticDatum	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	scientificName	Kingdom	family	genus	specificEpithet	taxonRank	nomenclaturalCode
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366518	E00366518		Achverdov, A.	BGBASE:380524		1950-07-31	212	1950	Jul	31	1950-07-31		Armenia	AM	Syunik'	Zangezur	2950	2950	2950 M						degrees minutes seconds	Vicia alpestris Steven	Plantae	Leguminosae	Vicia	alpestris	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366519	E00366519		Voikova, E.	BGBASE:380525		1958-07-19	200	1958	Jul	19	1958-07-19		Georgia	GE		Great Caucasus. Kazbek									degrees minutes seconds	Vicia alpestris Steven	Plantae	Leguminosae	Vicia	alpestris	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366516	E00366516		Mulkidjanian, Y. &Manakian,V.	BGBASE:380522		1962-06-03	154	1962	6	3	1962-06-03		Armenia	AM	Shirak	North Armenia, Ghukasyan region, Dzorashen									degrees minutes seconds	Vicia alpestris Steven	Plantae	Leguminosae	Vicia	alpestris	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00348415	E00348415	261	Edinburgh Tbilisi Expedition to Georgia (2009)	BGBASE:429946	Waypoint no. 68	2009-08-20	232	1009	8	20	2009-08-20	Perennial herb, sprawling, 1m, leaflets in 8 pairs, flowers dark purple Alpine Meadow		GE	Juta (Kazbegi)	Juta Valley off Sno Gorge	2159	2159	2159 M	42.579722	44.742778		42 34' 47'' N	44 44' 34'' E	degrees minutes seconds	Vicia alpestris Steven	Plantae	Leguminosae	Vicia	alpestris	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366530	E00366530		Calvert, H.H. & Zohrab, J.	BGBASE:379223			135	1867	5		May 1867		Armenia	AM											degrees minutes seconds	Vicia alpestris Steven	Plantae	Leguminosae	Vicia	alpestris	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00441859	E00441859		Mulkidjanian, Y & Manakian, V.	BGBASE:407741		1967-06-04	155	1967	6	4	1967-06-04		Armenia	AM	Syunik'	Meghri region, Vagravar									degrees minutes seconds	Vicia anatolica Turrill	Plantae	Leguminosae	Vicia	anatolica	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00441862	E00441862		Manakyan, V.	BGBASE:407744		1984-06-13	165	1984	6	13	1984-06-13		Armenia	AM	Vayots' Dzor	Yechegnadzor region, Vernashen	1600	1650	1600-1650 M						degrees minutes seconds	Vicia anatolica Turrill	Plantae	Leguminosae	Vicia	anatolica	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00428565	E00428565	200	Brown, Richard & Prestage, Anne	BGBASE:468726	Way point = 47	2010-05-14	134	2010	5	14	2010-05-14	Annual to 45cm, leaves with 4-7 pairs of leaflets flowers dark purple, pods 4-7cm.  Semi-desert	Georgia	GE	Kiziki	Kasristskali, Lekistskali Gorge. 	271	271	271 M	41.164722	46.571111		41 9' 53'' N	46 34' 16'' E	degrees minutes seconds	Vicia angustifolia L.	Plantae	Leguminosae	Vicia	angustifolia	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364748	E00364748		Schelkovnikov, A.B. & Kara-Murza, E.	BGBASE:376926		1927-07-13	194	1927	Jul	13	1927-07-13		Armenia	AM											degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364751	E00364751		Busch, N.A. & Busch E.A.	BGBASE:376929		1933-08-28	240	1933	8	28	1933-08-28		Georgia	GE		left side of the upper Ermanskogo gorge									degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364752	E00364752			BGBASE:376930		1978-08-07	219	1978	8	7	1978-08-07		Armenia	AM			2200	2200	2200 M						degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364758	E00364758	6780	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	BGBASE:376941		1989-06-16	167	1989	6	16	1989-06-16		Armenia	AM	Tavush	Dilizhan, 10 kms from Dilizhan on Yerevan road	1990	1990	1990 M	40.683333	44.883333		40 41' N	44 53' E	degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364759	E00364759	6894	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	BGBASE:376945		1989-06-22	173	1989	6	22	1989-06-22		Armenia	AM	Vayots' Dzor	Dzhermuk, banks opposite Dzhermuk airpoet 	2060	2060	2060 M	39.816667	45.716667		39 49' N	45 43' E	degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364761	E00364761	6964	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	BGBASE:376948		1989-06-26	177	1989	6	26	1989-06-26		Armenia	AM	Kotayk'	Megradzor, near 12 km sign on Razdan to Alagez	1670	1670	1670 M	40.583333	44.666667		40 35' N	44 40' E	degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00364750	E00364750	6979	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	BGBASE:376928		1989-06-26	177	1989	6	26	1989-06-26		Armenia	AM	Kotayk'	Ankavan, small canyon at head of valley	1900	1900	1900 M	40.650000	44.500000		40 39' N	44 30' E	degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00348508	E00348508	300	Edinburgh Tbilisi Expedition to Georgia (2009)	BGBASE:431041	Waypoint no. 76	2009-08-22	234	1009	8	22	2009-08-22	Perennial sprawling herb, 1m, leaves with 8 pairs of leaflets, leaflets obovate, tendrils at tip, flowers yellow Rocky outcrop, roadside	Georgia	GE	Bakuriani	Tskhratskaro Pass, south of Bakuriani	2030	2030	2030 M	41.708889	43.519167		41 42' 32'' N	43 31' 9'' E	degrees minutes seconds	Vicia balansae Boiss.	Plants	Leguminosae	Vicia	balansae	species	ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366459	E00366459		Schelkovnikov, A.B. & Kara-Murza, E.	BGBASE:380466		1928-06-17	169	1928	6	17	1928-06-17		Armenia	AM		Prope Elenovka m. Arcanoz	1981	2438	6500-8000 FT						degrees minutes seconds	Vicia canescens Labill ssp. variegata (Willd.) Davis	Plantae	Leguminosae	Vicia	canescens		ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366479	E00366479		O.Polianska	BGBASE:380486		1930-05-07	127	1930	5	7	1930-05-07		Armenia	AM		NE bank of Lake Sevan.									degrees minutes seconds	Vicia canescens Labill ssp. variegata (Willd.) Davis	Plantae	Leguminosae	Vicia	canescens		ICBN
PhysicalObject	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen	http://data.rbge.org.uk/herb/E00366447	E00366447			BGBASE:380457		1950-08-12	224	1950	8	12	1950-08-12	130cm	Armenia	AM			3200	3300	3200-3300 M						degrees minutes seconds	Vicia canescens Labill. ssp. gregaria (Boiss. & Heldr.) P.H.Davis	Plantae	Leguminosae	Vicia	canescens		ICBN
